year,khoi,diem_moc,percentile,count_greater_equal,top_percent,higher_than_count
2025,D1,7.5,0.009125804924512482,350622,99.99087419507549,32
2025,D1,7.25,0.007414716501166391,350628,99.99258528349884,25
2025,D1,7.0,0.005988809481711316,350633,99.9940111905183,20
2025,D1,6.75,0.003992539654474212,350640,99.99600746034552,14
2025,D1,6.5,0.002851814038910151,350644,99.9971481859611,10
2025,D1,6.25,0.0022814512311281204,350646,99.99771854876887,8
2025,D1,6.0,0.001996269827237106,350647,99.99800373017277,7
2025,D1,5.75,0.0014259070194550755,350649,99.99857409298055,5
2025,D1,5.5,0.0008555442116730452,350651,99.99914445578833,3
2025,D1,5.0,0.0005703628077820301,350652,99.99942963719222,2
2025,D1,4.5,0.00028518140389101505,350653,99.9997148185961,1
2025,D1,3.5,0.0,350654,100.0,0
